uploader,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,dominant_class,dominant_top
Chaos-Kid,2,0.22586719465507646,0.0,0.0,1.0,0.0,fx-o,fx
claravinleb,28,0.22614710718570247,0.0,0.42857142857142855,0.03571428571428571,0.0,ss-u,ss
Pate141,18,0.22668603284140365,0.0,0.4444444444444444,0.4444444444444444,0.0,ss-u,ss
reklamacja,17,0.22682591487367715,0.058823529411764705,0.23529411764705882,0.35294117647058826,0.058823529411764705,is-p,fx
user118879245,2,0.22700943896328146,0.0,0.5,0.0,0.0,fx-m,fx
-CASK-,1,0.2272877789338032,0.0,0.0,0.0,0.0,fx-el,fx
Thor_S,1,0.22756954539786275,0.0,0.0,0.0,0.0,sp-s,sp
filmmakerwyatt,1,0.22762160236440074,0.0,0.0,0.0,0.0,fx-a,fx
YevgVerh,4,0.2278724455895449,0.0,0.0,0.0,0.0,ss-n,ss
matias1111111,39,0.22818368527402655,0.0,0.48717948717948717,0.2564102564102564,0.0,ss-u,ss
Toby_Mikle,1,0.2289082766836924,0.0,1.0,0.0,0.0,ss-u,ss
Moneyblurprint,1,0.22908569994148664,0.0,0.0,0.0,0.0,fx-el,fx
amberbeata,1,0.2309393534253594,0.0,0.0,0.0,0.0,fx-o,fx
Krona74,9,0.23112654886513948,0.0,0.0,0.0,0.0,fx-el,fx
perrycallas,1,0.23121099115529886,0.0,1.0,0.0,0.0,ss-n,ss
Mixigodo,1,0.2315891805,0.0,0.0,0.0,0.0,fx-a,fx
Frank_Woods,1,0.2317591192518717,0.0,0.0,0.0,0.0,fx-n,fx
Canakinsound,3,0.23177954662258646,0.0,0.3333333333333333,0.3333333333333333,0.0,ss-n,ss
Aaron_Oldenburg,1,0.23189887897525377,0.0,0.0,0.0,0.0,ss-n,ss
Soundsman23234,25,0.23213975182574453,0.0,0.24,0.64,0.08,is-p,is
jacobsteel,2,0.23219370068103912,0.0,0.0,1.0,0.0,fx-a,fx
ShangASDFGuy123,23,0.23269142171977822,0.0,0.13043478260869565,0.08695652173913043,0.13043478260869565,fx-a,fx
matiespalau,3,0.23294522034871226,0.0,0.3333333333333333,0.3333333333333333,0.0,ss-n,ss
oonailona,36,0.23325144031647874,0.0,0.6111111111111112,0.25,0.0,ss-u,ss
SilviaPlm,1,0.23339653369229144,0.0,0.0,0.0,0.0,ss-u,ss
wado1942,1,0.2340414928005193,0.0,0.0,0.0,0.0,fx-o,fx
AdamNeverStopsGaming,1,0.23423611867748345,0.0,0.0,0.0,0.0,fx-a,fx
chelan,7,0.23445973085149938,0.0,0.0,0.2857142857142857,0.0,ss-n,ss
reise,1,0.2350196744017392,0.0,1.0,0.0,0.0,ss-n,ss
artsybadboi,1,0.23523500207587938,0.0,0.0,1.0,0.0,ss-n,ss
TheFastMario,1,0.2354259304431841,0.0,0.0,0.0,0.0,fx-v,fx
_MokeyMokey,2,0.23583551691642374,0.0,0.0,0.0,0.0,fx-o,fx
asciiface,1,0.23682899742388291,0.0,0.0,0.0,0.0,fx-m,fx
Marion_off,1,0.237324854420541,0.0,0.0,0.0,0.0,ss-i,ss
cera.stes,1,0.23770160150713435,0.0,0.0,0.0,0.0,fx-h,fx
shihabsahil,11,0.23799226712022722,0.0,0.0,0.36363636363636365,0.09090909090909091,is-s,is
sedatedpixel,2,0.23827686828690056,0.0,0.0,0.5,0.0,fx-a,fx
evgeny134,1,0.23844757025570312,0.0,0.0,0.0,0.0,fx-o,fx
koolaroo,1,0.23872978264233144,0.0,0.0,0.0,0.0,fx-o,fx
Sam-Mortley,11,0.23898423829366502,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,ss-u,ss
boomcheese,2,0.23935111773427625,0.0,0.0,0.0,0.0,fx-ex,fx
Bmisiewicz,2,0.23988619423410593,0.0,0.0,0.0,0.0,ss-n,ss
gdaring,1,0.24056108435626905,0.0,0.0,0.0,0.0,ss-n,ss
RandomRecord19,1,0.24093873481903164,0.0,0.0,0.0,0.0,ss-n,ss
Malcolm_Wilson_Multimedia,1,0.24128383607094395,0.0,0.0,0.0,0.0,ss-i,ss
eamonlaser2,2,0.24156602919041267,0.0,0.0,0.0,0.0,ss-n,ss
