method,score_column,objective,threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,recall_gap,min_recall
rank average: binary + expected + P45,rank_avg_binary_expected_p45,recall-optimal @ precision>=0.70,0.225,0.6911281489594743,0.7001747233546884,0.8812490837120657,0.7803453200051927,0.6792733591467663,0.6293790763179433,0.6301050301224858,0.377509068923821,0.8812490837120657,0.8366095599173242,0.7527446978505636,,
OOF logistic stacker,logistic_stacker_prob45,F1-optimal,0.392,0.6833698430083972,0.6829694323144104,0.9171675707374285,0.7829297290532508,0.6841907295202342,0.6074350550180492,0.5990183968146038,0.2977025392986699,0.9171675707374285,0.8374233557753608,0.7526712352687048,,
OOF logistic stacker,logistic_stacker_prob45,macro-F1-optimal,0.55,0.6936838262139466,0.762063227953411,0.7386013780970532,0.7501488981536629,0.6758532480388459,0.6790951267752496,0.6771970905862654,0.6195888754534462,0.7386013780970532,0.8374233557753608,0.7526712352687048,,
OOF logistic stacker,logistic_stacker_prob45,balanced recall 123/45,0.59,0.6796276013143483,0.7780016792611251,0.679225919953086,0.7252661239824671,0.6702445908803125,0.6797580627576796,0.6705358640928097,0.6802902055622733,0.679225919953086,0.8374233557753608,0.7526712352687048,0.0010642856091872543,0.679225919953086
OOF logistic stacker,logistic_stacker_prob45,precision-optimal @ recall>=0.70,0.5750000000000001,0.6855604235122308,0.7725217952857604,0.7015100425157601,0.7353054168267383,0.6724851731573699,0.6803801724066104,0.6740481225979258,0.6592503022974607,0.7015100425157601,0.8374233557753608,0.7526712352687048,,
OOF logistic stacker,logistic_stacker_prob45,recall-optimal @ precision>=0.70,0.429,0.6911281489594743,0.7005484887384759,0.8800762351561354,0.7801169590643274,0.6789294601212279,0.6297600039142225,0.6306288567170764,0.37944377267230955,0.8800762351561354,0.8374233557753608,0.7526712352687048,,
OOF ridge stacker,ridge_stacker_score45,F1-optimal,0.386,0.678714859437751,0.6753426112822692,0.9319747837560475,0.7831711223358384,0.6873148571641418,0.5964589759167178,0.581617262471195,0.26094316807738815,0.9319747837560475,0.8374511989407416,0.7531283377477656,,
OOF ridge stacker,ridge_stacker_score45,macro-F1-optimal,0.5690000000000001,0.6914019715224534,0.7685821361648969,0.721595074036065,0.7443478260869565,0.6757014371509897,0.681595602314284,0.6775727849209964,0.641596130592503,0.721595074036065,0.8374511989407416,0.7531283377477656,,
OOF ridge stacker,ridge_stacker_score45,balanced recall 123/45,0.594,0.6818181818181818,0.779547359597653,0.6817182231344378,0.7273580478648521,0.6722821951264162,0.6818506472383192,0.6726862560165812,0.6819830713422007,0.6817182231344378,0.8374511989407416,0.7531283377477656,0.0002648482077629577,0.6817182231344378
OOF ridge stacker,ridge_stacker_score45,precision-optimal @ recall>=0.70,0.581,0.685469149324571,0.7730140753923314,0.7004838000293212,0.7349638517151208,0.6725803361254851,0.6805925650690741,0.6741036991460003,0.660701330108827,0.7004838000293212,0.8374511989407416,0.7531283377477656,,
OOF ridge stacker,ridge_stacker_score45,recall-optimal @ precision>=0.70,0.445,0.6913106973347937,0.700571561880322,0.8805160533646093,0.7803040145511239,0.6792828434663885,0.6298589940341789,0.6307165976407046,0.37920193470374847,0.8805160533646093,0.8374511989407416,0.7531283377477656,,
