uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
Thomas_Bey_William_Bailey,73,0.3561643835616438,0.8493150684931506,0.6227699,0.3400566,fx-el
.cLAPPS.,14,0.35714285714285715,0.42857142857142855,0.59741277,0.23445795,fx-ex
Artem_Zaitsev,22,0.36363636363636365,0.8181818181818182,0.6911305,0.3249771,fx-el
Darklitstudio,11,0.36363636363636365,0.5454545454545454,0.65547824,0.37365922,fx-h
editfour,11,0.36363636363636365,0.6363636363636364,0.67871994,0.34643248,ss-u
saangosu,11,0.36363636363636365,0.8181818181818182,0.78290063,0.3074447,fx-el
craigsmith,63,0.36507936507936506,0.5396825396825397,0.7310783,0.33462745,ss-n
L0sts1gnal_404,16,0.375,0.6875,0.5812553,0.30949804,fx-el
levelclearer,16,0.375,0.5,0.7727427,0.34961915,is-e
madracha,16,0.375,0.875,0.8461801,0.34930706,fx-m
Clément_B,8,0.375,0.5,0.65872175,0.37275556,ss-n
InSintesi,8,0.375,0.75,0.77650595,0.39956164,ss-s
gregwht,8,0.375,0.375,0.86388946,0.38944513,ss-n
kurvehein,8,0.375,0.5,0.55865717,0.2667904,fx-h
markb,8,0.375,1.0,0.62246275,0.28970033,ss-u
stevemoser,8,0.375,0.75,0.929301,0.39000756,fx-m
wichogarcia,8,0.375,1.0,0.7236631,0.44404003,fx-m
younoise,8,0.375,0.5,0.7276972,0.32052946,m-m
itinerantmonk108,29,0.3793103448275862,0.5172413793103449,0.7105801,0.379167,ss-n
GirlWithSoundRecorder,13,0.38461538461538464,0.46153846153846156,0.71772,0.40464342,ss-n
letaidye,13,0.38461538461538464,0.5384615384615384,0.6940072,0.41633242,ss-n
EtherAudio,49,0.3877551020408163,0.7755102040816326,0.6126707,0.3406134,fx-el
MuSiCjUnK,18,0.3888888888888889,0.9444444444444444,0.8091644,0.42257443,m-m
nicola_ariutti,18,0.3888888888888889,0.6111111111111112,0.7711003,0.3744498,ss-n
gis_sweden,23,0.391304347826087,0.6086956521739131,0.66605234,0.3510332,m-si
DeniPal,38,0.39473684210526316,0.5789473684210527,0.84685534,0.38998517,ss-n
HarmonicMess,25,0.4,0.52,0.8808306,0.38860455,ss-n
JakobGille,20,0.4,0.8,0.6844666,0.34608442,ss-n
buzkill,15,0.4,0.8,0.7158187,0.4154911,fx-v
Alex_hears_things,10,0.4,0.5,0.8378278,0.4359553,ss-n
Florentpelat,10,0.4,0.5,0.76892823,0.3968551,ss-n
Froey_,10,0.4,1.0,0.773821,0.41311017,fx-el
nightcustard,10,0.4,0.6,0.72590756,0.47997087,ss-n
C-V,5,0.4,1.0,0.74999547,0.4645322,fx-n
DangerLaef,5,0.4,0.6,0.81077814,0.3007307,ss-n
Democrocernus,5,0.4,0.4,0.95096624,0.3745903,ss-n
EngineerNIA,5,0.4,0.6,0.7187947,0.37795037,ss-u
JustASeriesofFonetics,5,0.4,0.8,0.73329866,0.56915724,fx-el
Kavos_Dreams,5,0.4,0.6,0.7007665,0.5164197,fx-a
Lynxmoth,5,0.4,0.6,0.7589667,0.40599507,ss-i
MaxVianello,5,0.4,0.4,0.726657,0.28549388,is-p
NicolasLikesThisWebsite496,5,0.4,0.6,0.88694286,0.37780085,sp-s
Siralemuresu,5,0.4,0.6,0.7155759,0.4013514,ss-u
TimLwry,5,0.4,1.0,0.55616266,0.2930772,fx-el
boobadascooba,5,0.4,1.0,0.8579526,0.4193644,fx-o
csengeri,5,0.4,0.4,0.76927423,0.37568128,ss-u
ffdm,5,0.4,0.6,0.67187023,0.3311717,ss-i
garandM1,5,0.4,0.4,0.92154217,0.44701982,ss-n
katzuyitsu,5,0.4,0.8,0.7922033,0.2170128,m-si
razvanhg,5,0.4,0.4,0.6840417,0.3760918,ss-n
z._.zed._.z,5,0.4,0.4,0.6353105,0.40785265,ss-n
TicAshfield,119,0.40336134453781514,0.7647058823529411,0.78668857,0.36412713,fx-m
SoAM_Sound_of_Any_Motion,32,0.40625,0.71875,0.6823565,0.404935,ss-u
chungus43A,44,0.4090909090909091,0.8636363636363636,0.5546036,0.36224273,fx-v
PianoFarm,95,0.4105263157894737,0.4631578947368421,0.6978552,0.4153905,ss-n
bassimat,302,0.4105960264900662,0.6059602649006622,0.6631451,0.36380306,fx-o
MaxuJakku,17,0.4117647058823529,0.9411764705882353,0.6898532,0.42513454,is-e
miguelperezang,17,0.4117647058823529,0.9411764705882353,0.81050426,0.31993222,fx-h
